Pressure,Temp1_F,Humidity,Temp2_F,Floor
98.87,71.06,31.90,76.51,1
98.88,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.88,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.51,1
98.87,71.06,31.90,76.51,1
98.87,71.06,31.90,76.51,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.88,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.51,1
98.87,71.06,31.90,76.51,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.51,1
98.87,71.06,31.90,76.53,1
98.88,71.06,31.90,76.53,1
98.88,71.06,31.90,76.51,1
98.88,71.06,31.90,76.51,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.51,1
98.87,71.06,31.90,76.51,1
98.88,71.06,31.90,76.51,1
98.88,71.06,31.90,76.53,1
98.87,71.06,31.90,76.51,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.51,1
98.88,71.06,31.90,76.55,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.51,1
98.87,71.06,31.90,76.51,1
98.88,71.06,31.90,76.53,1
98.87,71.06,31.90,76.51,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.51,1
98.88,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.51,1
98.87,71.06,31.90,76.51,1
98.88,71.06,31.90,76.51,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.51,1
98.87,71.06,31.90,76.51,1
98.88,71.06,31.90,76.53,1
98.87,71.06,31.90,76.51,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.51,1
98.87,71.06,31.90,76.55,1
98.88,71.06,31.90,76.53,1
98.87,71.06,31.90,76.51,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.51,1
98.87,71.06,31.90,76.53,1
98.88,71.06,31.90,76.53,1
98.88,71.06,31.90,76.53,1
98.88,71.06,31.90,76.55,1
98.88,71.06,31.90,76.51,1
98.87,71.06,31.90,76.51,1
98.88,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.55,1
98.87,71.06,31.90,76.51,1
98.87,71.06,31.90,76.51,1
98.87,71.06,31.90,76.53,1
98.88,71.06,31.90,76.51,1
98.87,71.06,31.90,76.51,1
98.87,71.06,31.90,76.50,1
98.87,71.06,31.90,76.51,1
98.88,71.06,31.90,76.51,1
98.87,71.06,31.90,76.51,1
98.87,71.06,31.90,76.51,1
98.87,71.06,31.90,76.51,1
98.88,71.06,31.90,76.53,1
98.87,71.06,31.90,76.51,1
98.87,71.06,31.90,76.50,1
98.87,71.06,31.90,76.53,1
98.88,71.06,31.90,76.53,1
98.88,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.88,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.88,71.06,31.90,76.53,1
98.88,71.06,31.90,76.53,1
98.88,71.06,31.90,76.51,1
98.88,71.06,31.90,76.53,1
98.88,71.06,31.90,76.53,1
98.88,71.06,31.90,76.53,1
98.88,71.06,31.90,76.53,1
98.88,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.88,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.51,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.51,1
98.88,71.06,31.90,76.51,1
98.87,71.06,31.90,76.51,1
98.88,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.50,1
98.87,71.06,31.90,76.53,1
98.88,71.06,31.90,76.51,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.51,1
98.88,71.06,31.90,76.55,1
98.87,71.06,31.90,76.51,1
98.88,71.06,31.90,76.53,1
98.87,71.06,31.90,76.51,1
98.87,71.06,31.90,76.53,1
98.88,71.06,31.90,76.51,1
98.88,71.06,31.90,76.53,1
98.88,71.06,31.90,76.53,1
98.88,71.06,31.90,76.55,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.51,1
98.87,71.06,31.90,76.51,1
98.87,71.06,31.90,76.51,1
98.88,71.06,31.90,76.53,1
98.88,71.06,31.90,76.51,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.51,1
98.88,71.06,31.90,76.55,1
98.88,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.55,1
98.88,71.06,31.90,76.53,1
98.88,71.06,31.90,76.53,1
98.88,71.06,31.90,76.53,1
98.87,71.06,31.90,76.50,1
98.88,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.88,71.06,31.90,76.53,1
98.88,71.06,31.90,76.51,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.88,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.55,1
98.88,71.06,31.90,76.50,1
98.88,71.06,31.90,76.53,1
98.88,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.88,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.51,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.51,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.51,1
98.87,71.06,31.90,76.53,1
98.88,71.06,31.90,76.53,1
98.87,71.06,31.90,76.51,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.51,1
98.87,71.06,31.90,76.51,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.51,1
98.87,71.06,31.90,76.55,1
98.87,71.06,31.90,76.51,1
98.87,71.06,31.90,76.50,1
98.87,71.06,31.90,76.51,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.88,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.88,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.51,1
98.87,71.06,31.90,76.57,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.51,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.51,1
98.88,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.88,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.88,71.06,31.90,76.53,1
98.88,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.88,71.06,31.90,76.51,1
98.87,71.06,31.90,76.55,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.55,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.55,1
98.88,71.06,31.90,76.53,1
98.87,71.06,31.90,76.51,1
98.88,71.06,31.90,76.55,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.57,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.88,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.88,71.06,31.90,76.55,1
98.88,71.06,31.90,76.55,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.55,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.88,71.06,31.90,76.55,1
98.88,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.88,71.06,31.90,76.53,1
98.88,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.88,71.06,31.90,76.53,1
98.87,71.06,31.90,76.55,1
98.87,71.06,31.90,76.51,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.55,1
98.87,71.06,31.90,76.55,1
98.87,71.06,31.90,76.57,1
98.88,71.06,31.90,76.57,1
98.88,71.06,31.90,76.53,1
98.88,71.06,31.90,76.55,1
98.88,71.06,31.90,76.55,1
98.88,71.06,31.90,76.57,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.55,1
98.88,71.06,31.90,76.57,1
98.87,71.06,31.90,76.55,1
98.88,71.06,31.90,76.55,1
98.87,71.06,31.90,76.55,1
98.87,71.06,31.90,76.55,1
98.88,71.06,31.90,76.55,1
98.87,71.06,31.90,76.53,1
98.88,71.06,31.90,76.53,1
98.88,71.06,31.90,76.53,1
98.88,71.06,31.90,76.55,1
98.88,71.06,31.90,76.55,1
98.87,71.06,31.90,76.55,1
98.88,71.06,31.90,76.55,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.51,1
98.88,71.06,31.90,76.55,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.55,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.55,1
98.87,71.06,31.90,76.53,1
98.88,71.06,31.90,76.57,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.57,1
98.87,71.06,31.90,76.55,1
98.88,71.06,31.90,76.55,1
98.87,71.06,31.90,76.55,1
98.88,71.06,31.90,76.55,1
98.88,71.06,31.90,76.53,1
98.87,71.06,31.90,76.57,1
98.88,71.06,31.90,76.55,1
98.87,71.06,31.90,76.53,1
98.88,71.06,31.90,76.55,1
98.88,71.06,31.90,76.55,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.55,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.55,1
98.88,71.06,31.90,76.55,1
98.87,71.06,31.90,76.55,1
98.87,71.06,31.90,76.57,1
98.88,71.06,31.90,76.57,1
98.88,71.06,31.90,76.57,1
98.87,71.06,31.90,76.55,1
98.87,71.06,31.90,76.55,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.57,1
98.87,71.06,31.90,76.55,1
98.88,71.06,31.90,76.55,1
98.87,71.06,31.90,76.57,1
98.88,71.06,31.90,76.55,1
98.88,71.06,31.90,76.57,1
98.88,71.06,31.90,76.57,1
98.88,71.06,31.90,76.57,1
98.87,71.06,31.90,76.55,1
98.87,71.06,31.90,76.55,1
98.87,71.06,31.90,76.57,1
98.88,71.06,31.90,76.57,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.57,1
98.87,71.06,31.90,76.55,1
98.87,71.06,31.90,76.55,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.57,1
98.88,71.06,31.90,76.57,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.55,1
98.87,71.06,31.90,76.53,1
98.88,71.06,31.90,76.55,1
98.87,71.06,31.90,76.57,1
98.87,71.06,31.90,76.55,1
98.87,71.06,31.90,76.55,1
98.87,71.06,31.90,76.55,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.55,1
98.87,71.06,31.90,76.55,1
98.87,71.06,31.90,76.53,1
98.88,71.06,31.90,76.55,1
98.88,71.06,31.90,76.55,1
98.87,71.06,31.90,76.57,1
98.87,71.06,31.90,76.55,1
98.87,71.06,31.90,76.55,1
98.87,71.06,31.90,76.57,1
98.87,71.06,31.90,76.55,1
98.88,71.06,31.90,76.57,1
98.88,71.06,31.90,76.55,1
98.88,71.06,31.90,76.57,1
98.88,71.06,31.90,76.57,1
98.88,71.06,31.90,76.57,1
98.88,71.06,31.90,76.57,1
98.88,71.06,31.90,76.57,1
98.88,71.06,31.90,76.57,1
98.88,71.06,31.90,76.55,1
98.87,71.06,31.90,76.55,1
98.87,71.06,31.90,76.57,1
98.87,71.06,31.90,76.55,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.55,1
98.88,71.06,31.90,76.57,1
98.88,71.06,31.90,76.57,1
98.87,71.06,31.90,76.55,1
98.87,71.06,31.90,76.55,1
98.87,71.06,31.90,76.57,1
98.87,71.06,31.90,76.55,1
98.88,71.06,31.90,76.55,1
98.87,71.06,31.90,76.57,1
98.87,71.06,31.90,76.57,1
98.87,71.06,31.90,76.55,1
98.87,71.06,31.90,76.55,1
98.87,71.06,31.90,76.55,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.55,1
98.87,71.06,31.90,76.53,1
98.88,71.06,31.90,76.55,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.57,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.55,1
98.87,71.06,31.90,76.53,1
98.87,71.06,31.90,76.55,1
98.88,71.06,31.90,76.57,1
98.88,71.06,31.90,76.55,1
98.87,71.06,31.90,76.55,1
98.87,71.06,31.90,76.55,1
98.87,71.06,31.90,76.55,1
98.87,71.06,31.90,76.55,1
98.87,71.06,31.90,76.53,1
98.88,71.06,31.90,76.55,1
